Transação	Área de Atuação	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cargo	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Categoria	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Centro de Custo	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Folha	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Horário	Unnamed: 27	Unnamed: 28	Unnamed: 29	Unnamed: 30	Mão de Obra	Unnamed: 32	Unnamed: 33	Unnamed: 34	Unnamed: 35	Marcador de Ponto	Unnamed: 37	Unnamed: 38	Unnamed: 39	Unnamed: 40	Quantidade e Horas Mês	Unnamed: 42	Unnamed: 43	Unnamed: 44	Unnamed: 45	Sindicato	Unnamed: 47	Unnamed: 48	Unnamed: 49	Unnamed: 50	Vínculo	Unnamed: 52	Unnamed: 53	Unnamed: 54	Unnamed: 55	Data da Abertura	Unnamed: 57	Unnamed: 58	Unnamed: 59	Unnamed: 60	Data de Início da Vigência	Unnamed: 62	Unnamed: 63	Unnamed: 64	Unnamed: 65	Número do Contratado - Superior Hierárquico	Unnamed: 67	Unnamed: 68	Unnamed: 69	Unnamed: 70	Percentual de Insalubridade	Unnamed: 72	Unnamed: 73	Unnamed: 74	Unnamed: 75	Percentual de Periculosidade	Unnamed: 77	Unnamed: 78	Unnamed: 79	Unnamed: 80	Valor do Salário	Unnamed: 82	Unnamed: 83	Unnamed: 84	Unnamed: 85
15326;	47599	;	(	nan	)	30165	;	(	nan	)	30140	;	(	nan	)	30110	;	(	nan	)	30090	;	(	nan	)	30120	;	(	nan	)	30105	;	(	nan	)	30222	;	(	nan	)	30150	;	(	nan	)	30130	;	(	nan	)	30145	;	(	nan	)	30095	;	(	20250501	)	38470	;	(	20250501	)	97243	;	(	nan	)	30155	;	(	nan	)	30160	;	(	nan	)	30180	;	(	nan	)
15326;	47599	;	(	nan	)	30165	;	(	nan	)	30140	;	(	nan	)	30110	;	(	nan	)	30090	;	(	nan	)	30120	;	(	nan	)	30105	;	(	nan	)	30222	;	(	nan	)	30150	;	(	nan	)	30130	;	(	nan	)	30145	;	(	nan	)	30095	;	(	20250501	)	38470	;	(	20250501	)	97243	;	(	nan	)	30155	;	(	nan	)	30160	;	(	nan	)	30180	;	(	nan	)
15326;	47599	;	(	nan	)	30165	;	(	nan	)	30140	;	(	nan	)	30110	;	(	nan	)	30090	;	(	nan	)	30120	;	(	nan	)	30105	;	(	nan	)	30222	;	(	nan	)	30150	;	(	nan	)	30130	;	(	nan	)	30145	;	(	nan	)	30095	;	(	20250501	)	38470	;	(	20250501	)	97243	;	(	nan	)	30155	;	(	nan	)	30160	;	(	nan	)	30180	;	(	nan	)
15326;	47599	;	(	nan	)	30165	;	(	nan	)	30140	;	(	nan	)	30110	;	(	nan	)	30090	;	(	nan	)	30120	;	(	nan	)	30105	;	(	nan	)	30222	;	(	nan	)	30150	;	(	nan	)	30130	;	(	nan	)	30145	;	(	nan	)	30095	;	(	20250501	)	38470	;	(	20250501	)	97243	;	(	nan	)	30155	;	(	nan	)	30160	;	(	nan	)	30180	;	(	nan	)
15326;	47599	;	(	nan	)	30165	;	(	nan	)	30140	;	(	nan	)	30110	;	(	nan	)	30090	;	(	nan	)	30120	;	(	nan	)	30105	;	(	nan	)	30222	;	(	nan	)	30150	;	(	nan	)	30130	;	(	nan	)	30145	;	(	nan	)	30095	;	(	20250501	)	38470	;	(	20250501	)	97243	;	(	nan	)	30155	;	(	nan	)	30160	;	(	nan	)	30180	;	(	nan	)
15326;	47599	;	(	nan	)	30165	;	(	nan	)	30140	;	(	nan	)	30110	;	(	nan	)	30090	;	(	nan	)	30120	;	(	nan	)	30105	;	(	nan	)	30222	;	(	nan	)	30150	;	(	nan	)	30130	;	(	nan	)	30145	;	(	nan	)	30095	;	(	20250501	)	38470	;	(	20250501	)	97243	;	(	nan	)	30155	;	(	nan	)	30160	;	(	nan	)	30180	;	(	nan	)
15326;	47599	;	(	nan	)	30165	;	(	nan	)	30140	;	(	nan	)	30110	;	(	nan	)	30090	;	(	nan	)	30120	;	(	nan	)	30105	;	(	nan	)	30222	;	(	nan	)	30150	;	(	nan	)	30130	;	(	nan	)	30145	;	(	nan	)	30095	;	(	20250501	)	38470	;	(	20250501	)	97243	;	(	nan	)	30155	;	(	nan	)	30160	;	(	nan	)	30180	;	(	nan	)
15326;	47599	;	(	nan	)	30165	;	(	nan	)	30140	;	(	nan	)	30110	;	(	nan	)	30090	;	(	nan	)	30120	;	(	nan	)	30105	;	(	nan	)	30222	;	(	nan	)	30150	;	(	nan	)	30130	;	(	nan	)	30145	;	(	nan	)	30095	;	(	20250501	)	38470	;	(	20250501	)	97243	;	(	nan	)	30155	;	(	nan	)	30160	;	(	nan	)	30180	;	(	nan	)
15326;	47599	;	(	nan	)	30165	;	(	nan	)	30140	;	(	nan	)	30110	;	(	nan	)	30090	;	(	nan	)	30120	;	(	nan	)	30105	;	(	nan	)	30222	;	(	nan	)	30150	;	(	nan	)	30130	;	(	nan	)	30145	;	(	nan	)	30095	;	(	20250501	)	38470	;	(	20250501	)	97243	;	(	nan	)	30155	;	(	nan	)	30160	;	(	nan	)	30180	;	(	nan	)
15326;	47599	;	(	nan	)	30165	;	(	nan	)	30140	;	(	nan	)	30110	;	(	nan	)	30090	;	(	nan	)	30120	;	(	nan	)	30105	;	(	nan	)	30222	;	(	nan	)	30150	;	(	nan	)	30130	;	(	nan	)	30145	;	(	nan	)	30095	;	(	20250501	)	38470	;	(	20250501	)	97243	;	(	nan	)	30155	;	(	nan	)	30160	;	(	nan	)	30180	;	(	nan	)
15326;	47599	;	(	nan	)	30165	;	(	nan	)	30140	;	(	nan	)	30110	;	(	nan	)	30090	;	(	nan	)	30120	;	(	nan	)	30105	;	(	nan	)	30222	;	(	nan	)	30150	;	(	nan	)	30130	;	(	nan	)	30145	;	(	nan	)	30095	;	(	20250501	)	38470	;	(	20250501	)	97243	;	(	nan	)	30155	;	(	nan	)	30160	;	(	nan	)	30180	;	(	nan	)
15326;	47599	;	(	nan	)	30165	;	(	nan	)	30140	;	(	nan	)	30110	;	(	nan	)	30090	;	(	nan	)	30120	;	(	nan	)	30105	;	(	nan	)	30222	;	(	nan	)	30150	;	(	nan	)	30130	;	(	nan	)	30145	;	(	nan	)	30095	;	(	20250501	)	38470	;	(	20250501	)	97243	;	(	nan	)	30155	;	(	nan	)	30160	;	(	nan	)	30180	;	(	nan	)
15326;	47599	;	(	nan	)	30165	;	(	nan	)	30140	;	(	nan	)	30110	;	(	nan	)	30090	;	(	nan	)	30120	;	(	nan	)	30105	;	(	nan	)	30222	;	(	nan	)	30150	;	(	nan	)	30130	;	(	nan	)	30145	;	(	nan	)	30095	;	(	20250501	)	38470	;	(	20250501	)	97243	;	(	nan	)	30155	;	(	nan	)	30160	;	(	nan	)	30180	;	(	nan	)
15326;	47599	;	(	nan	)	30165	;	(	nan	)	30140	;	(	nan	)	30110	;	(	nan	)	30090	;	(	nan	)	30120	;	(	nan	)	30105	;	(	nan	)	30222	;	(	nan	)	30150	;	(	nan	)	30130	;	(	nan	)	30145	;	(	nan	)	30095	;	(	20250501	)	38470	;	(	20250501	)	97243	;	(	nan	)	30155	;	(	nan	)	30160	;	(	nan	)	30180	;	(	nan	)
15326;	47599	;	(	nan	)	30165	;	(	nan	)	30140	;	(	nan	)	30110	;	(	nan	)	30090	;	(	nan	)	30120	;	(	nan	)	30105	;	(	nan	)	30222	;	(	nan	)	30150	;	(	nan	)	30130	;	(	nan	)	30145	;	(	nan	)	30095	;	(	20250501	)	38470	;	(	20250501	)	97243	;	(	nan	)	30155	;	(	nan	)	30160	;	(	nan	)	30180	;	(	nan	)
15326;	47599	;	(	nan	)	30165	;	(	nan	)	30140	;	(	nan	)	30110	;	(	nan	)	30090	;	(	nan	)	30120	;	(	nan	)	30105	;	(	nan	)	30222	;	(	nan	)	30150	;	(	nan	)	30130	;	(	nan	)	30145	;	(	nan	)	30095	;	(	20250501	)	38470	;	(	20250501	)	97243	;	(	nan	)	30155	;	(	nan	)	30160	;	(	nan	)	30180	;	(	nan	)
